Player,Age,Team,Position,Games_played,Free_Throws,Total_Rebounds,Assists,Steals,Blocks,Fouls,Points
Brandin Podziemski,20.0,GSW,SG,74.0,0.7,5.8,3.7,0.8,0.2,1.6,9.2
Duop Reath,27.0,POR,C,68.0,1.0,3.7,1.0,0.5,0.6,2.4,9.1
Sam Hauser,26.0,BOS,SF,79.0,0.2,3.5,1.0,0.5,0.3,1.3,9.0
Taurean Prince,29.0,LAL,PF,78.0,0.6,2.9,1.5,0.7,0.4,1.9,8.9
Jabari Walker,21.0,POR,SF,72.0,1.8,7.1,1.0,0.6,0.3,2.4,8.9
Dereck Lively II,19.0,DAL,C,55.0,0.7,6.9,1.1,0.7,1.4,2.6,8.8
Kevin Love,35.0,MIA,PF,55.0,1.5,6.1,2.1,0.3,0.2,1.8,8.8
Terance Mann,27.0,LAC,SG,75.0,1.1,3.4,1.6,0.6,0.2,1.9,8.8
Ausar Thompson,21.0,DET,SF,63.0,1.1,6.4,1.9,1.1,0.9,2.8,8.8
Draymond Green,33.0,GSW,PF,55.0,1.0,7.2,6.0,1.0,0.9,3.0,8.6
Al Horford,37.0,BOS,C,65.0,0.4,6.4,2.6,0.6,1.0,1.4,8.6
Derrick Jones Jr.,26.0,DAL,SF,76.0,1.3,3.3,1.0,0.7,0.7,1.6,8.6
Gradey Dick,20.0,TOR,SG,60.0,0.7,2.2,1.1,0.6,0.0,1.5,8.5
Dorian Finney-Smith,30.0,BRK,PF,68.0,0.5,4.7,1.6,0.8,0.6,2.2,8.5
Tristan Vukcevic,20.0,WAS,C,10.0,1.7,3.6,1.3,0.5,0.7,2.8,8.5
Bilal Coulibaly,19.0,WAS,SF,63.0,1.5,4.1,1.7,0.9,0.8,2.2,8.4
Andre Drummond,30.0,CHI,C,79.0,1.6,9.0,0.5,0.9,0.6,1.8,8.4
Miles McBride,23.0,NYK,PG,68.0,0.6,1.5,1.7,0.7,0.1,1.6,8.3
Marcus Sasser,23.0,DET,PG,71.0,0.8,1.8,3.3,0.6,0.2,1.5,8.3
Josh Green,23.0,DAL,SG,57.0,0.7,3.2,2.3,0.8,0.2,1.9,8.2
Isaiah Joe,24.0,OKC,SG,78.0,0.6,2.3,1.3,0.6,0.3,1.1,8.2
Ziaire Williams,22.0,MEM,SF,51.0,1.2,3.5,1.5,0.7,0.2,1.7,8.2
Kyle Lowry,37.0,2TM,PG,60.0,1.1,3.2,4.2,1.0,0.4,2.4,8.1
Kyle Lowry,37.0,MIA,PG,37.0,0.9,3.5,4.0,1.1,0.4,2.5,8.2
Kyle Lowry,37.0,PHI,PG,23.0,1.2,2.8,4.6,0.9,0.3,2.3,8.0
Walker Kessler,22.0,UTA,C,64.0,0.9,7.5,0.9,0.5,2.4,2.1,8.1
Moses Moody,21.0,GSW,SG,66.0,1.1,3.0,0.9,0.6,0.4,1.4,8.1
Nickeil Alexander-Walker,25.0,MIN,SG,82.0,0.6,2.0,2.5,0.8,0.5,1.7,8.0
Sam Merrill,27.0,CLE,SG,61.0,0.4,2.0,1.8,0.3,0.1,1.2,8.0
Derrick Rose,35.0,MEM,PG,24.0,1.0,1.9,3.3,0.3,0.1,0.9,8.0
Dario Å ariÄ,29.0,GSW,C,64.0,1.2,4.4,2.3,0.5,0.2,1.8,8.0
Trayce Jackson-Davis,23.0,GSW,PF,68.0,1.1,5.0,1.2,0.4,1.1,1.6,7.9
Dante Exum,28.0,DAL,PG,55.0,1.0,2.7,2.9,0.4,0.1,1.5,7.8
Markelle Fultz,25.0,ORL,PG,43.0,0.5,3.2,2.8,1.0,0.3,1.5,7.8
Isaiah Hartenstein,25.0,NYK,C,75.0,1.5,8.3,2.5,1.2,1.1,2.8,7.8
Jordan Hawkins,21.0,NOP,SG,67.0,1.0,2.2,1.0,0.3,0.1,1.1,7.8
Royce O'Neale,30.0,2TM,SF,79.0,0.3,4.8,2.8,0.7,0.6,2.2,7.7
Royce O'Neale,30.0,BRK,SF,49.0,0.3,4.5,2.8,0.7,0.6,2.4,7.4
Royce O'Neale,30.0,PHO,SF,30.0,0.3,5.2,2.7,0.9,0.5,1.8,8.1
RaiQuan Gray,24.0,SAS,PF,3.0,0.0,2.3,2.0,0.3,0.3,0.0,7.7
Nikola JoviÄ,20.0,MIA,PF,46.0,0.7,4.2,2.0,0.5,0.3,1.8,7.7
Precious Achiuwa,24.0,2TM,PF,74.0,0.9,6.6,1.3,0.6,0.9,1.9,7.6
Precious Achiuwa,24.0,TOR,C,25.0,1.0,5.4,1.8,0.6,0.5,1.6,7.7
Precious Achiuwa,24.0,NYK,PF,49.0,0.9,7.2,1.1,0.6,1.1,2.1,7.6
Toumani Camara,23.0,POR,PF,70.0,1.1,4.9,1.2,0.9,0.5,2.5,7.5
Cody Martin,28.0,CHO,SF,28.0,0.7,3.9,3.7,1.1,0.6,1.7,7.5
Brice Sensabaugh,20.0,UTA,SF,32.0,1.2,3.2,1.7,0.4,0.2,1.3,7.5
Cameron Payne,29.0,2TM,PG,78.0,0.7,1.5,2.6,0.5,0.1,1.6,7.4
Cameron Payne,29.0,MIL,PG,47.0,0.8,1.3,2.3,0.5,0.1,1.6,6.2
Cameron Payne,29.0,PHI,PG,31.0,0.7,1.8,3.1,0.6,0.3,1.7,9.3
Christian Braun,22.0,DEN,SG,82.0,1.1,3.7,1.6,0.5,0.4,1.7,7.3
Jaden Hardy,21.0,DAL,SG,73.0,0.8,1.8,1.5,0.3,0.1,1.1,7.3
Taylor Hendricks,20.0,UTA,PF,40.0,0.6,4.6,0.8,0.7,0.8,1.9,7.3
Paul Reed,24.0,PHI,C,82.0,0.7,6.0,1.3,0.8,1.0,2.4,7.3
Lamar Stevens,26.0,2TM,PF,38.0,1.1,3.3,0.7,0.6,0.6,1.2,7.2
Lamar Stevens,26.0,BOS,PF,19.0,0.4,1.6,0.4,0.3,0.3,0.7,2.8
Lamar Stevens,26.0,MEM,PF,19.0,1.8,5.1,1.1,0.9,0.9,1.6,11.5
Johnny Juzang,22.0,UTA,SG,20.0,0.5,1.8,1.2,0.2,0.1,1.5,7.2
Kevin Knox,24.0,DET,SF,31.0,0.6,2.4,0.7,0.4,0.2,1.6,7.2
Trey Lyles,28.0,SAC,PF,58.0,0.8,4.4,1.2,0.3,0.3,1.5,7.2
Jose Alvarado,25.0,NOP,PG,56.0,0.6,2.3,2.1,1.1,0.3,1.6,7.1
Naji Marshall,26.0,NOP,SF,66.0,1.0,3.6,1.9,0.7,0.2,1.4,7.1
Landry Shamet,26.0,WAS,SG,46.0,0.8,1.3,1.2,0.5,0.2,1.7,7.1
James Wiseman,22.0,DET,C,63.0,1.1,5.3,0.9,0.2,0.6,2.2,7.1
Vasilije MiciÄ,30.0,2TM,PG,60.0,1.0,1.5,4.4,0.5,0.1,1.1,7.0
Vasilije MiciÄ,30.0,OKC,PG,30.0,0.5,0.8,2.5,0.3,0.1,0.7,3.3
Vasilije MiciÄ,30.0,CHO,PG,30.0,1.6,2.1,6.2,0.7,0.1,1.5,10.8
Jordan Nwora,25.0,2TM,SF,52.0,0.8,2.9,1.2,0.5,0.3,0.9,7.0
Jordan Nwora,25.0,IND,SF,18.0,0.5,1.8,1.0,0.3,0.1,1.1,5.2
Jordan Nwora,25.0,TOR,SF,34.0,1.0,3.4,1.3,0.6,0.4,0.9,7.9
Quentin Grimes,23.0,2TM,SG,51.0,0.7,2.0,1.3,0.7,0.1,1.5,7.0
Quentin Grimes,23.0,NYK,SG,45.0,0.5,2.0,1.2,0.7,0.1,1.5,7.3
Quentin Grimes,23.0,DET,SG,6.0,1.7,2.0,2.3,0.8,0.7,1.5,5.3
Javon Freeman-Liberty,24.0,TOR,PG,22.0,1.5,3.2,1.8,0.5,0.2,1.3,7.0
Evan Fournier,31.0,2TM,SG,32.0,0.9,1.8,1.5,0.9,0.2,1.5,6.9
Evan Fournier,31.0,NYK,SG,3.0,0.7,1.3,1.0,1.3,0.0,1.3,4.0
Evan Fournier,31.0,DET,SG,29.0,0.9,1.9,1.6,0.9,0.2,1.5,7.2
Gary Harris,29.0,ORL,SG,54.0,0.6,1.7,1.6,0.9,0.3,1.7,6.9
Killian Hayes,22.0,DET,PG,42.0,0.8,2.8,4.9,0.9,0.5,1.8,6.9
Bones Hyland,23.0,LAC,PG,37.0,0.5,1.5,2.5,0.7,0.1,1.4,6.9
MÃ£ozinha Pereira,23.0,MEM,SF,7.0,1.0,5.3,0.3,0.9,0.6,1.4,6.9
Trendon Watford,23.0,BRK,PF,63.0,1.2,3.1,1.3,0.4,0.3,1.7,6.9
Aaron Wiggins,25.0,OKC,SG,78.0,0.7,2.4,1.1,0.7,0.2,1.2,6.9
Christian Wood,28.0,LAL,PF,50.0,1.3,5.1,1.0,0.3,0.7,1.4,6.9
Trey Jemison,24.0,2TM,C,25.0,0.8,5.4,1.1,0.5,1.1,2.8,6.8
Trey Jemison,24.0,WAS,C,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Trey Jemison,24.0,MEM,C,23.0,0.9,5.8,1.2,0.5,1.2,3.0,7.4
Julian Champagnie,22.0,SAS,SF,74.0,1.0,2.8,1.4,0.6,0.6,1.0,6.8
Jonathan Isaac,26.0,ORL,PF,58.0,1.0,4.5,0.5,0.7,1.2,1.1,6.8
Cedi Osman,28.0,SAS,SF,72.0,0.5,2.5,1.7,0.5,0.2,1.5,6.8
Day'Ron Sharpe,22.0,BRK,C,61.0,1.2,6.4,1.4,0.4,0.7,2.1,6.8
Cason Wallace,20.0,OKC,SG,82.0,0.4,2.3,1.5,0.9,0.5,1.6,6.8
Robert Williams,26.0,POR,C,6.0,1.2,6.3,0.8,1.2,1.2,2.8,6.8
DÄvis BertÄns,31.0,2TM,PF,43.0,0.7,1.4,0.8,0.6,0.3,1.3,6.7
DÄvis BertÄns,31.0,OKC,PF,15.0,0.9,0.7,0.6,0.2,0.2,0.7,2.9
DÄvis BertÄns,31.0,CHO,PF,28.0,0.6,1.8,0.9,0.8,0.3,1.6,8.8
Jahmi'us Ramsey,22.0,TOR,SG,7.0,0.7,3.1,1.1,1.0,0.0,1.4,6.7
Peyton Watson,21.0,DEN,SF,80.0,0.9,3.2,1.1,0.5,1.1,1.8,6.7
Amir Coffey,26.0,LAC,SF,70.0,0.9,2.1,1.1,0.6,0.2,1.5,6.6
Aaron Holiday,27.0,HOU,PG,78.0,0.7,1.6,1.8,0.5,0.1,1.6,6.6
Dennis Smith Jr.,26.0,BRK,PG,56.0,0.8,2.9,3.6,1.2,0.2,2.2,6.6
Chimezie Metu,26.0,2TM,C,51.0,1.1,3.8,0.9,0.8,0.3,1.4,6.5
Chimezie Metu,26.0,PHO,C,37.0,1.0,3.0,0.5,0.5,0.2,1.1,5.0
Chimezie Metu,26.0,DET,C,14.0,1.4,6.0,1.9,1.7,0.5,2.3,10.5
Jordan Goodwin,25.0,2TM,PG,57.0,0.8,4.4,2.7,0.8,0.3,1.3,6.5
Jordan Goodwin,25.0,PHO,PG,40.0,0.6,2.9,2.0,0.6,0.2,1.1,5.0
Jordan Goodwin,25.0,MEM,PG,17.0,1.1,8.0,4.5,1.5,0.5,1.9,10.0
David Roddy,22.0,2TM,PF,65.0,0.7,3.2,1.2,0.4,0.2,1.1,6.5
David Roddy,22.0,MEM,PF,48.0,1.0,4.2,1.6,0.5,0.2,1.4,8.4
David Roddy,22.0,PHO,PF,17.0,0.1,0.6,0.2,0.1,0.0,0.2,1.3
David Duke Jr.,24.0,SAS,SG,4.0,0.8,2.5,1.3,0.5,0.0,1.0,6.5
Jeff Green,37.0,HOU,PF,78.0,1.6,2.3,0.9,0.2,0.4,1.3,6.5
Isaiah Jackson,22.0,IND,C,59.0,1.2,4.0,0.8,0.6,1.0,2.3,6.5
Marcus Morris,34.0,2TM,PF,49.0,0.7,2.7,0.7,0.3,0.3,1.5,6.4
Marcus Morris,34.0,PHI,PF,37.0,0.8,2.9,0.7,0.4,0.3,1.6,6.7
Marcus Morris,34.0,CLE,PF,12.0,0.4,2.1,0.8,0.2,0.2,1.1,5.8
Kyle Anderson,30.0,MIN,PF,79.0,1.2,3.5,4.2,0.9,0.6,1.6,6.4
Chris Boucher,31.0,TOR,PF,50.0,1.4,4.1,0.5,0.3,0.5,1.4,6.4
Jared Butler,23.0,WAS,SG,40.0,0.8,1.5,3.2,0.7,0.2,1.5,6.3
Bruno Fernando,25.0,ATL,C,45.0,1.4,4.3,1.0,0.6,0.6,2.4,6.3
Daniel Theis,31.0,2TM,C,60.0,0.6,4.1,1.0,0.4,0.9,2.1,6.3
Daniel Theis,31.0,IND,C,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Daniel Theis,31.0,LAC,C,59.0,0.6,4.1,1.0,0.4,0.9,2.1,6.3
Jaylen Nowell,24.0,2TM,SG,13.0,0.5,1.8,1.5,0.3,0.2,1.2,6.2
Jaylen Nowell,24.0,MEM,SG,9.0,0.3,1.6,1.8,0.3,0.0,1.4,5.7
Jaylen Nowell,24.0,DET,SG,4.0,1.0,2.5,0.8,0.3,0.5,0.5,7.5
Patrick Beverley,35.0,2TM,PG,73.0,1.0,3.3,2.9,0.6,0.4,1.8,6.2
Patrick Beverley,35.0,PHI,PG,47.0,1.1,3.1,3.1,0.5,0.4,1.8,6.3
Patrick Beverley,35.0,MIL,PG,26.0,0.9,3.6,2.6,0.7,0.5,1.7,6.0
Jae Crowder,33.0,MIL,PF,50.0,0.5,3.2,1.3,0.8,0.2,1.5,6.2
Keon Johnson,21.0,BRK,SG,5.0,2.2,1.4,0.6,0.6,0.2,1.0,6.2
Haywood Highsmith,27.0,MIA,PF,66.0,0.3,3.2,1.1,0.8,0.5,1.8,6.1
Vit Krejci,23.0,ATL,PG,22.0,0.2,2.4,2.3,0.6,0.3,2.2,6.1
Kris Murray,23.0,POR,SF,62.0,0.6,3.6,1.3,0.9,0.3,1.5,6.1
Ben Simmons,27.0,BRK,PG,15.0,0.4,7.9,5.7,0.8,0.6,2.4,6.1
Zavier Simpson,26.0,MEM,PG,7.0,0.4,2.9,3.6,1.0,0.4,1.6,6.0
Tosan Evbuomwan,22.0,2TM,SF,17.0,1.0,3.5,0.9,0.4,0.3,1.4,5.9
Tosan Evbuomwan,22.0,MEM,SF,4.0,0.0,3.5,1.5,0.0,0.3,1.3,2.5
Tosan Evbuomwan,22.0,DET,SF,13.0,1.3,3.5,0.8,0.5,0.3,1.4,7.0
Justin Champagnie,22.0,WAS,SF,15.0,0.8,3.5,1.3,0.7,0.6,0.9,5.9
Nick Smith Jr.,19.0,CHO,SG,51.0,0.3,1.4,1.2,0.2,0.1,1.1,5.9
Ochai Agbaji,23.0,2TM,SG,78.0,0.5,2.8,1.1,0.6,0.6,1.5,5.8
Ochai Agbaji,23.0,UTA,SG,51.0,0.3,2.5,0.9,0.5,0.6,1.3,5.4
Ochai Agbaji,23.0,TOR,SG,27.0,0.8,3.3,1.3,0.7,0.6,1.9,6.7
Noah Clowney,19.0,BRK,PF,23.0,0.9,3.5,0.8,0.3,0.7,1.1,5.8
Dyson Daniels,20.0,NOP,PG,61.0,0.6,3.9,2.7,1.4,0.4,1.7,5.8
Danilo Gallinari,35.0,3TM,SF,49.0,1.7,2.2,1.1,0.3,0.1,1.0,5.7
Danilo Gallinari,35.0,WAS,PF,26.0,1.8,2.9,1.2,0.2,0.1,1.0,7.0
Danilo Gallinari,35.0,DET,SF,6.0,3.5,2.3,2.0,0.3,0.3,1.5,8.7
Danilo Gallinari,35.0,MIL,SF,17.0,0.9,1.1,0.7,0.4,0.1,0.9,2.8
Thomas Bryant,26.0,MIA,C,38.0,1.1,3.7,0.6,0.3,0.4,1.2,5.7
Torrey Craig,33.0,CHI,SF,53.0,0.5,4.1,1.1,0.6,0.4,2.1,5.7
Larry Nance Jr.,31.0,NOP,C,61.0,0.8,5.0,1.9,1.0,0.3,1.6,5.7
Pat Connaughton,31.0,MIL,SF,76.0,0.6,3.1,2.1,0.5,0.3,1.3,5.6
Craig Porter Jr.,23.0,CLE,PG,51.0,0.8,2.1,2.3,0.4,0.3,0.8,5.6
Mitchell Robinson,25.0,NYK,C,31.0,0.9,8.5,0.6,1.2,1.1,1.8,5.6
Malachi Flynn,25.0,3TM,PG,69.0,0.8,1.7,1.9,0.6,0.1,1.0,5.5
Malachi Flynn,25.0,TOR,PG,31.0,0.5,2.1,2.4,0.6,0.2,1.4,5.1
Malachi Flynn,25.0,NYK,PG,14.0,0.6,0.4,0.4,0.1,0.0,0.2,2.2
Malachi Flynn,25.0,DET,PG,24.0,1.1,1.8,2.1,0.8,0.1,0.9,8.0
Doug McDermott,32.0,2TM,SF,64.0,0.2,0.9,1.1,0.3,0.0,1.0,5.5
Doug McDermott,32.0,SAS,SF,46.0,0.2,1.0,1.2,0.2,0.0,1.0,6.0
Doug McDermott,32.0,IND,SF,18.0,0.1,0.6,0.7,0.3,0.0,0.9,4.2
Dexter Dennis,24.0,DAL,SG,4.0,0.3,2.3,1.0,0.0,0.3,0.3,5.5
Gary Payton II,31.0,GSW,SG,44.0,0.3,2.6,1.1,0.9,0.4,1.8,5.5
Neemias Queta,24.0,BOS,C,28.0,0.7,4.4,0.7,0.5,0.8,1.8,5.5
Ricky Council IV,22.0,PHI,SG,32.0,1.7,1.4,0.5,0.3,0.0,0.5,5.4
Kris Dunn,29.0,UTA,PG,66.0,0.3,2.9,3.8,1.0,0.4,2.0,5.4
Keon Ellis,24.0,SAC,SG,57.0,0.5,2.2,1.5,0.9,0.5,2.0,5.4
Cam Reddish,24.0,LAL,SF,48.0,0.9,2.1,1.0,1.0,0.3,1.3,5.4
Matt Ryan,26.0,NOP,SF,28.0,0.5,1.4,0.6,0.2,0.0,1.1,5.4
Matisse Thybulle,26.0,POR,SF,65.0,0.3,2.1,1.4,1.7,0.8,1.4,5.4
Sasha Vezenkov,28.0,SAC,PF,42.0,0.3,2.3,0.5,0.5,0.2,1.0,5.4
Dean Wade,27.0,CLE,PF,54.0,0.4,4.0,0.8,0.7,0.5,1.7,5.4
Darius Bazley,23.0,2TM,PF,9.0,1.1,3.1,0.8,0.7,0.8,0.3,5.3
Darius Bazley,23.0,PHI,PF,3.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0
Darius Bazley,23.0,UTA,PF,6.0,1.7,4.5,0.8,1.0,1.2,0.5,8.0
Xavier Tillman Sr.,25.0,2TM,PF,54.0,0.4,3.9,1.4,0.9,0.8,1.4,5.3
Xavier Tillman Sr.,25.0,MEM,C,34.0,0.5,4.6,1.7,1.2,1.0,1.8,6.0
Xavier Tillman Sr.,25.0,BOS,PF,20.0,0.2,2.7,1.0,0.5,0.5,0.8,4.0
Nicolas Batum,35.0,2TM,PF,60.0,0.3,4.1,2.1,0.8,0.6,1.8,5.3
Nicolas Batum,35.0,LAC,PF,3.0,0.0,2.3,1.7,1.0,1.3,1.7,2.7
Nicolas Batum,35.0,PHI,PF,57.0,0.3,4.2,2.2,0.8,0.6,1.8,5.5
Luke Kornet,28.0,BOS,C,63.0,0.8,4.1,1.1,0.4,1.0,1.2,5.3
Davion Mitchell,25.0,SAC,PG,72.0,0.4,1.3,1.9,0.2,0.0,1.2,5.3
Mason Plumlee,33.0,LAC,C,46.0,1.5,5.1,1.2,0.3,0.4,1.5,5.3
Stanley Umude,24.0,DET,SG,24.0,1.2,2.1,0.5,0.3,0.3,1.7,5.3
Aleksej Pokusevski,22.0,2TM,PF,28.0,1.1,3.2,1.3,0.5,0.5,0.8,5.2
Aleksej Pokusevski,22.0,OKC,PF,10.0,0.2,1.0,0.5,0.1,0.1,0.5,1.2
Aleksej Pokusevski,22.0,CHO,PF,18.0,1.6,4.4,1.7,0.8,0.7,0.9,7.4
Bol Bol,24.0,PHO,PF,43.0,0.3,3.2,0.4,0.2,0.6,1.0,5.2
Brandon Boston Jr.,22.0,LAC,SF,32.0,0.7,1.6,0.4,0.3,0.3,1.3,5.2
Jarred Vanderbilt,24.0,LAL,PF,29.0,0.8,4.8,1.2,1.2,0.2,1.5,5.2
Seth Curry,33.0,2TM,SG,44.0,0.6,1.5,1.0,0.5,0.1,0.9,5.1
Seth Curry,33.0,DAL,SG,36.0,0.5,1.4,0.8,0.5,0.1,0.9,4.3
Seth Curry,33.0,CHO,SG,8.0,1.4,2.0,1.8,0.6,0.4,0.9,9.0
Drew Eubanks,26.0,PHO,C,75.0,1.0,4.3,0.8,0.4,0.8,1.5,5.1
Bryce McGowens,21.0,CHO,SG,59.0,1.1,1.7,0.9,0.4,0.2,1.3,5.1
Richaun Holmes,30.0,2TM,C,40.0,0.9,4.6,0.6,0.3,0.5,1.9,5.0
Richaun Holmes,30.0,DAL,C,23.0,0.5,3.4,0.7,0.1,0.4,1.4,3.4
Richaun Holmes,30.0,WAS,PF,17.0,1.3,6.1,0.6,0.5,0.6,2.4,7.1
Monte Morris,28.0,2TM,PG,33.0,0.4,1.7,2.1,0.6,0.3,0.4,5.0
Monte Morris,28.0,DET,PG,6.0,0.2,2.0,1.3,0.2,0.2,0.2,4.5
Monte Morris,28.0,MIN,PG,27.0,0.4,1.7,2.3,0.7,0.3,0.5,5.1
Goga Bitadze,24.0,ORL,C,62.0,0.9,4.6,1.3,0.5,1.2,1.7,5.0
Jevon Carter,28.0,CHI,PG,72.0,0.1,0.8,1.3,0.5,0.2,1.0,5.0
Devonte' Graham,28.0,SAS,PG,23.0,0.6,1.6,2.1,0.4,0.1,0.6,5.0
Isaiah Livers,25.0,DET,PF,23.0,0.5,2.1,1.1,0.6,0.2,1.9,5.0
Kobi Simmons,26.0,TOR,PG,4.0,0.0,1.8,3.0,1.5,0.5,1.3,5.0
D.J. Wilson,27.0,PHI,PF,2.0,0.0,1.0,1.0,0.0,1.0,0.5,5.0
Jalen Wilson,23.0,BRK,PF,43.0,0.9,3.0,1.0,0.3,0.1,1.1,5.0
Jock Landale,28.0,HOU,C,56.0,0.9,3.1,1.2,0.4,0.6,1.3,4.9
Garrison Mathews,27.0,ATL,SG,66.0,0.5,1.4,0.6,0.3,0.1,1.7,4.9
Jared Rhoden,24.0,DET,SG,17.0,0.3,1.9,0.8,0.2,0.8,1.6,4.9
Kobe Bufkin,20.0,ATL,SG,17.0,0.2,1.9,1.6,0.4,0.3,1.2,4.8
DeJon Jarreau,26.0,MEM,SG,9.0,0.6,4.9,2.9,0.7,0.2,1.6,4.8
Eugene Omoruyi,26.0,WAS,SF,43.0,0.7,2.0,0.8,0.6,0.1,1.4,4.8
Kenrich Williams,29.0,OKC,PF,69.0,0.1,3.0,1.3,0.6,0.1,1.5,4.7
Kenneth Lofton Jr.,21.0,3TM,PF,21.0,0.8,1.8,1.6,0.3,0.2,1.1,4.6
Kenneth Lofton Jr.,21.0,MEM,PF,15.0,0.5,1.0,0.9,0.2,0.2,1.0,2.6
Kenneth Lofton Jr.,21.0,PHI,PF,2.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0
Kenneth Lofton Jr.,21.0,UTA,PF,4.0,2.3,5.0,4.8,0.8,0.5,2.3,13.8
Anthony Black,20.0,ORL,PG,69.0,0.7,2.0,1.3,0.5,0.3,1.6,4.6
Josh Okogie,25.0,PHO,SG,60.0,1.3,2.6,1.1,0.8,0.4,1.1,4.6
Omer Yurtseven,25.0,UTA,C,48.0,0.4,4.3,0.6,0.2,0.4,1.1,4.6
Shake Milton,27.0,3TM,SG,48.0,0.8,1.6,1.3,0.4,0.1,1.1,4.5
Shake Milton,27.0,MIN,SG,38.0,0.9,1.3,1.3,0.4,0.1,1.2,4.7
Shake Milton,27.0,DET,SG,4.0,0.5,4.5,1.5,0.5,0.3,0.8,6.8
Shake Milton,27.0,NYK,SG,6.0,0.3,1.0,0.7,0.2,0.0,1.2,1.8
Delon Wright,31.0,2TM,PG,47.0,0.8,1.8,2.5,1.1,0.2,0.7,4.5
Delon Wright,31.0,WAS,PG,33.0,0.7,1.8,2.5,1.1,0.2,0.7,4.1
Delon Wright,31.0,MIA,PG,14.0,0.9,1.9,2.6,1.4,0.2,0.7,5.4
A.J. Green,24.0,MIL,SG,56.0,0.3,1.1,0.5,0.2,0.1,0.9,4.5
Kevon Looney,27.0,GSW,C,74.0,0.8,5.7,1.8,0.4,0.4,2.1,4.5
Taze Moore,25.0,POR,SG,4.0,0.3,2.0,1.3,0.5,0.0,1.0,4.5
Julian Strawther,21.0,DEN,SF,50.0,0.4,1.2,0.9,0.3,0.1,1.1,4.5
Bismack Biyombo,31.0,2TM,C,40.0,0.7,5.2,1.3,0.3,0.9,2.2,4.4
Bismack Biyombo,31.0,MEM,C,30.0,0.7,6.4,1.7,0.3,1.1,2.7,5.2
Bismack Biyombo,31.0,OKC,C,10.0,0.4,1.8,0.2,0.1,0.3,0.7,1.8
Robert Covington,33.0,2TM,PF,29.0,0.8,3.3,0.8,1.3,0.6,1.9,4.4
Robert Covington,33.0,LAC,PF,3.0,0.3,2.7,2.3,2.0,0.7,2.3,3.0
Robert Covington,33.0,PHI,SF,26.0,0.8,3.4,0.7,1.3,0.6,1.9,4.5
Patrick Baldwin Jr.,21.0,WAS,SF,38.0,0.5,3.2,0.8,0.5,0.4,1.5,4.4
Mo Bamba,25.0,PHI,C,57.0,0.6,4.2,0.7,0.4,1.1,1.8,4.4
Dominick Barlow,20.0,SAS,PF,33.0,0.9,3.4,1.1,0.4,0.4,1.4,4.4
MarJon Beauchamp,23.0,MIL,SF,48.0,0.4,2.1,0.6,0.3,0.1,1.1,4.4
